"round","12_iid_q0.01 - _step","12_iid_q0.01 - _step__MIN","12_iid_q0.01 - _step__MAX","12_iid_q0.01 - length_unique","12_iid_q0.01 - length_unique__MIN","12_iid_q0.01 - length_unique__MAX","12_iid_q0.1 - _step","12_iid_q0.1 - _step__MIN","12_iid_q0.1 - _step__MAX","12_iid_q0.1 - length_unique","12_iid_q0.1 - length_unique__MIN","12_iid_q0.1 - length_unique__MAX","12_iid_q0.5 - _step","12_iid_q0.5 - _step__MIN","12_iid_q0.5 - _step__MAX","12_iid_q0.5 - length_unique","12_iid_q0.5 - length_unique__MIN","12_iid_q0.5 - length_unique__MAX","8_iid_q0.01 - _step","8_iid_q0.01 - _step__MIN","8_iid_q0.01 - _step__MAX","8_iid_q0.01 - length_unique","8_iid_q0.01 - length_unique__MIN","8_iid_q0.01 - length_unique__MAX","8_iid_q0.1 - _step","8_iid_q0.1 - _step__MIN","8_iid_q0.1 - _step__MAX","8_iid_q0.1 - length_unique","8_iid_q0.1 - length_unique__MIN","8_iid_q0.1 - length_unique__MAX","8_iid_q0.5 - _step","8_iid_q0.5 - _step__MIN","8_iid_q0.5 - _step__MAX","8_iid_q0.5 - length_unique","8_iid_q0.5 - length_unique__MIN","8_iid_q0.5 - length_unique__MAX","4_iid_q0.01 - _step","4_iid_q0.01 - _step__MIN","4_iid_q0.01 - _step__MAX","4_iid_q0.01 - length_unique","4_iid_q0.01 - length_unique__MIN","4_iid_q0.01 - length_unique__MAX","4_iid_q0.1 - _step","4_iid_q0.1 - _step__MIN","4_iid_q0.1 - _step__MAX","4_iid_q0.1 - length_unique","4_iid_q0.1 - length_unique__MIN","4_iid_q0.1 - length_unique__MAX","4_iid,q0.5 - _step","4_iid,q0.5 - _step__MIN","4_iid,q0.5 - _step__MAX","4_iid,q0.5 - length_unique","4_iid,q0.5 - length_unique__MIN","4_iid,q0.5 - length_unique__MAX"
"77","309","309","309","855","855","855","309","309","309","4705","4705","4705","309","309","309","6736","6736","6736","309","309","309","590","590","590","309","309","309","3884","3884","3884","309","309","309","6542","6542","6542","309","309","309","304","304","304","309","309","309","2482","2482","2482","309","309","309","5958","5958","5958"
"78","313","313","313","839","839","839","313","313","313","4623","4623","4623","313","313","313","6729","6729","6729","313","313","313","587","587","587","313","313","313","3832","3832","3832","313","313","313","6545","6545","6545","313","313","313","305","305","305","313","313","313","2511","2511","2511","313","313","313","5980","5980","5980"
"79","317","317","317","853","853","853","317","317","317","4610","4610","4610","317","317","317","6741","6741","6741","317","317","317","598","598","598","317","317","317","3865","3865","3865","317","317","317","6535","6535","6535","317","317","317","304","304","304","317","317","317","2514","2514","2514","317","317","317","5964","5964","5964"
"80","321","321","321","847","847","847","321","321","321","4658","4658","4658","321","321","321","6752","6752","6752","321","321","321","599","599","599","321","321","321","3897","3897","3897","321","321","321","6530","6530","6530","321","321","321","301","301","301","321","321","321","2484","2484","2484","321","321","321","5960","5960","5960"
"81","325","325","325","856","856","856","325","325","325","4705","4705","4705","325","325","325","6699","6699","6699","325","325","325","579","579","579","325","325","325","3868","3868","3868","325","325","325","6506","6506","6506","325","325","325","309","309","309","325","325","325","2493","2493","2493","325","325","325","5949","5949","5949"
"82","329","329","329","873","873","873","329","329","329","4634","4634","4634","329","329","329","6761","6761","6761","329","329","329","592","592","592","329","329","329","3874","3874","3874","329","329","329","6513","6513","6513","329","329","329","310","310","310","329","329","329","2519","2519","2519","329","329","329","5967","5967","5967"
"83","333","333","333","861","861","861","333","333","333","4651","4651","4651","333","333","333","6751","6751","6751","333","333","333","587","587","587","333","333","333","3838","3838","3838","333","333","333","6544","6544","6544","333","333","333","306","306","306","333","333","333","2495","2495","2495","333","333","333","5940","5940","5940"
"84","337","337","337","871","871","871","337","337","337","4673","4673","4673","337","337","337","6770","6770","6770","337","337","337","585","585","585","337","337","337","3935","3935","3935","337","337","337","6471","6471","6471","337","337","337","307","307","307","337","337","337","2503","2503","2503","337","337","337","5944","5944","5944"
"85","341","341","341","853","853","853","341","341","341","4593","4593","4593","341","341","341","6717","6717","6717","341","341","341","589","589","589","341","341","341","3881","3881","3881","341","341","341","6483","6483","6483","341","341","341","307","307","307","341","341","341","2507","2507","2507","341","341","341","5924","5924","5924"
"86","345","345","345","859","859","859","345","345","345","4661","4661","4661","345","345","345","6739","6739","6739","345","345","345","594","594","594","345","345","345","3830","3830","3830","345","345","345","6474","6474","6474","345","345","345","307","307","307","345","345","345","2503","2503","2503","345","345","345","5917","5917","5917"
"87","349","349","349","844","844","844","349","349","349","4634","4634","4634","349","349","349","6756","6756","6756","349","349","349","585","585","585","349","349","349","3875","3875","3875","349","349","349","6571","6571","6571","349","349","349","302","302","302","349","349","349","2503","2503","2503","349","349","349","5904","5904","5904"
"88","353","353","353","850","850","850","353","353","353","4656","4656","4656","353","353","353","6762","6762","6762","353","353","353","595","595","595","353","353","353","3872","3872","3872","353","353","353","6497","6497","6497","353","353","353","306","306","306","353","353","353","2475","2475","2475","353","353","353","5943","5943","5943"
"89","357","357","357","859","859","859","357","357","357","4702","4702","4702","357","357","357","6730","6730","6730","357","357","357","584","584","584","357","357","357","3857","3857","3857","357","357","357","6490","6490","6490","357","357","357","300","300","300","357","357","357","2509","2509","2509","357","357","357","5918","5918","5918"
"90","361","361","361","856","856","856","361","361","361","4608","4608","4608","361","361","361","6752","6752","6752","361","361","361","592","592","592","361","361","361","3860","3860","3860","361","361","361","6490","6490","6490","361","361","361","309","309","309","361","361","361","2485","2485","2485","361","361","361","5944","5944","5944"
"91","365","365","365","867","867","867","365","365","365","4639","4639","4639","365","365","365","6715","6715","6715","365","365","365","591","591","591","365","365","365","3912","3912","3912","365","365","365","6517","6517","6517","365","365","365","302","302","302","365","365","365","2516","2516","2516","365","365","365","5935","5935","5935"
"92","369","369","369","864","864","864","369","369","369","4614","4614","4614","369","369","369","6721","6721","6721","369","369","369","596","596","596","369","369","369","3852","3852","3852","369","369","369","6468","6468","6468","369","369","369","308","308","308","369","369","369","2507","2507","2507","369","369","369","5901","5901","5901"
"93","373","373","373","842","842","842","373","373","373","4646","4646","4646","373","373","373","6711","6711","6711","373","373","373","585","585","585","373","373","373","3854","3854","3854","373","373","373","6469","6469","6469","373","373","373","304","304","304","373","373","373","2493","2493","2493","373","373","373","5907","5907","5907"
"94","377","377","377","847","847","847","377","377","377","4596","4596","4596","377","377","377","6693","6693","6693","377","377","377","593","593","593","377","377","377","3852","3852","3852","377","377","377","6462","6462","6462","377","377","377","304","304","304","377","377","377","2487","2487","2487","377","377","377","5882","5882","5882"
"95","381","381","381","857","857","857","381","381","381","4574","4574","4574","381","381","381","6699","6699","6699","381","381","381","586","586","586","381","381","381","3866","3866","3866","381","381","381","6468","6468","6468","381","381","381","305","305","305","381","381","381","2540","2540","2540","381","381","381","5900","5900","5900"
"96","385","385","385","867","867","867","385","385","385","4669","4669","4669","385","385","385","6685","6685","6685","385","385","385","592","592","592","385","385","385","3886","3886","3886","385","385","385","6443","6443","6443","385","385","385","301","301","301","385","385","385","2489","2489","2489","385","385","385","5902","5902","5902"
"97","389","389","389","854","854","854","389","389","389","4631","4631","4631","389","389","389","6705","6705","6705","389","389","389","585","585","585","389","389","389","3877","3877","3877","389","389","389","6488","6488","6488","389","389","389","305","305","305","389","389","389","2494","2494","2494","389","389","389","5919","5919","5919"
"98","393","393","393","872","872","872","393","393","393","4623","4623","4623","393","393","393","6665","6665","6665","393","393","393","592","592","592","393","393","393","3810","3810","3810","393","393","393","6456","6456","6456","393","393","393","305","305","305","393","393","393","2500","2500","2500","393","393","393","5871","5871","5871"
"99","397","397","397","862","862","862","397","397","397","4659","4659","4659","397","397","397","6695","6695","6695","397","397","397","592","592","592","397","397","397","3834","3834","3834","397","397","397","6455","6455","6455","397","397","397","298","298","298","397","397","397","2500","2500","2500","397","397","397","5908","5908","5908"
"100","401","401","401","862","862","862","401","401","401","4626","4626","4626","401","401","401","6740","6740","6740","401","401","401","583","583","583","401","401","401","3871","3871","3871","401","401","401","6441","6441","6441","401","401","401","306","306","306","401","401","401","2480","2480","2480","401","401","401","5914","5914","5914"
"101","405","405","405","864","864","864","405","405","405","4626","4626","4626","405","405","405","6672","6672","6672","405","405","405","583","583","583","405","405","405","3889","3889","3889","405","405","405","6493","6493","6493","405","405","405","303","303","303","405","405","405","2477","2477","2477","405","405","405","5877","5877","5877"
"102","409","409","409","858","858","858","409","409","409","4594","4594","4594","409","409","409","6675","6675","6675","409","409","409","586","586","586","409","409","409","3814","3814","3814","409","409","409","6489","6489","6489","409","409","409","303","303","303","409","409","409","2487","2487","2487","409","409","409","5911","5911","5911"
"103","413","413","413","852","852","852","413","413","413","4652","4652","4652","413","413","413","6659","6659","6659","413","413","413","593","593","593","413","413","413","3875","3875","3875","413","413","413","6450","6450","6450","413","413","413","307","307","307","413","413","413","2493","2493","2493","413","413","413","5887","5887","5887"
"104","417","417","417","840","840","840","417","417","417","4623","4623","4623","417","417","417","6696","6696","6696","417","417","417","599","599","599","417","417","417","3869","3869","3869","417","417","417","6457","6457","6457","417","417","417","306","306","306","417","417","417","2507","2507","2507","417","417","417","5894","5894","5894"
"105","421","421","421","857","857","857","421","421","421","4644","4644","4644","421","421","421","6693","6693","6693","421","421","421","589","589","589","421","421","421","3849","3849","3849","421","421","421","6486","6486","6486","421","421","421","305","305","305","421","421","421","2501","2501","2501","421","421","421","5904","5904","5904"
"106","425","425","425","851","851","851","425","425","425","4618","4618","4618","425","425","425","6648","6648","6648","425","425","425","598","598","598","425","425","425","3875","3875","3875","425","425","425","6446","6446","6446","425","425","425","304","304","304","425","425","425","2494","2494","2494","425","425","425","5900","5900","5900"
"107","429","429","429","842","842","842","429","429","429","4670","4670","4670","429","429","429","6652","6652","6652","429","429","429","589","589","589","429","429","429","3818","3818","3818","429","429","429","6421","6421","6421","429","429","429","301","301","301","429","429","429","2520","2520","2520","429","429","429","5873","5873","5873"
"108","433","433","433","857","857","857","433","433","433","4614","4614","4614","433","433","433","6703","6703","6703","433","433","433","588","588","588","433","433","433","3805","3805","3805","433","433","433","6457","6457","6457","433","433","433","298","298","298","433","433","433","2485","2485","2485","433","433","433","5897","5897","5897"
"109","437","437","437","870","870","870","437","437","437","4596","4596","4596","437","437","437","6655","6655","6655","437","437","437","596","596","596","437","437","437","3867","3867","3867","437","437","437","6445","6445","6445","437","437","437","309","309","309","437","437","437","2475","2475","2475","437","437","437","5885","5885","5885"
"110","441","441","441","870","870","870","441","441","441","4648","4648","4648","441","441","441","6673","6673","6673","441","441","441","598","598","598","441","441","441","3824","3824","3824","441","441","441","6398","6398","6398","441","441","441","303","303","303","441","441","441","2488","2488","2488","441","441","441","5889","5889","5889"
"111","445","445","445","868","868","868","445","445","445","4605","4605","4605","445","445","445","6650","6650","6650","445","445","445","591","591","591","445","445","445","3893","3893","3893","445","445","445","6464","6464","6464","445","445","445","309","309","309","445","445","445","2503","2503","2503","445","445","445","5887","5887","5887"
"112","449","449","449","869","869","869","449","449","449","4609","4609","4609","449","449","449","6684","6684","6684","449","449","449","598","598","598","449","449","449","3838","3838","3838","449","449","449","6396","6396","6396","449","449","449","308","308","308","449","449","449","2470","2470","2470","449","449","449","5911","5911","5911"
"113","453","453","453","851","851","851","453","453","453","4642","4642","4642","453","453","453","6662","6662","6662","453","453","453","586","586","586","453","453","453","3833","3833","3833","453","453","453","6434","6434","6434","453","453","453","308","308","308","453","453","453","2507","2507","2507","453","453","453","5877","5877","5877"
"114","457","457","457","874","874","874","457","457","457","4574","4574","4574","457","457","457","6700","6700","6700","457","457","457","591","591","591","457","457","457","3844","3844","3844","457","457","457","6436","6436","6436","457","457","457","307","307","307","457","457","457","2498","2498","2498","457","457","457","5889","5889","5889"
"115","461","461","461","862","862","862","461","461","461","4619","4619","4619","461","461","461","6679","6679","6679","461","461","461","598","598","598","461","461","461","3829","3829","3829","461","461","461","6410","6410","6410","461","461","461","306","306","306","461","461","461","2499","2499","2499","461","461","461","5870","5870","5870"
"116","465","465","465","861","861","861","465","465","465","4621","4621","4621","465","465","465","6655","6655","6655","465","465","465","588","588","588","465","465","465","3876","3876","3876","465","465","465","6421","6421","6421","465","465","465","305","305","305","465","465","465","2492","2492","2492","465","465","465","5871","5871","5871"
"117","469","469","469","857","857","857","469","469","469","4609","4609","4609","469","469","469","6646","6646","6646","469","469","469","593","593","593","469","469","469","3819","3819","3819","469","469","469","6437","6437","6437","469","469","469","305","305","305","469","469","469","2483","2483","2483","469","469","469","5874","5874","5874"
"118","473","473","473","854","854","854","473","473","473","4671","4671","4671","473","473","473","6695","6695","6695","473","473","473","597","597","597","473","473","473","3817","3817","3817","473","473","473","6425","6425","6425","473","473","473","303","303","303","473","473","473","2504","2504","2504","473","473","473","5882","5882","5882"
"119","477","477","477","858","858","858","477","477","477","4601","4601","4601","477","477","477","6669","6669","6669","477","477","477","588","588","588","477","477","477","3872","3872","3872","477","477","477","6427","6427","6427","477","477","477","302","302","302","477","477","477","2501","2501","2501","477","477","477","5859","5859","5859"
"120","481","481","481","866","866","866","481","481","481","4600","4600","4600","481","481","481","6647","6647","6647","481","481","481","586","586","586","481","481","481","3853","3853","3853","481","481","481","6435","6435","6435","481","481","481","301","301","301","481","481","481","2503","2503","2503","481","481","481","5862","5862","5862"
"121","485","485","485","852","852","852","485","485","485","4596","4596","4596","485","485","485","6681","6681","6681","485","485","485","590","590","590","485","485","485","3902","3902","3902","485","485","485","6394","6394","6394","485","485","485","308","308","308","485","485","485","2486","2486","2486","485","485","485","5852","5852","5852"
"122","489","489","489","855","855","855","489","489","489","4641","4641","4641","489","489","489","6688","6688","6688","489","489","489","590","590","590","489","489","489","3836","3836","3836","489","489","489","6416","6416","6416","489","489","489","306","306","306","489","489","489","2501","2501","2501","489","489","489","5873","5873","5873"
"123","493","493","493","854","854","854","493","493","493","4585","4585","4585","493","493","493","6653","6653","6653","493","493","493","593","593","593","493","493","493","3833","3833","3833","493","493","493","6423","6423","6423","493","493","493","306","306","306","493","493","493","2526","2526","2526","493","493","493","5863","5863","5863"
"124","497","497","497","851","851","851","497","497","497","4572","4572","4572","497","497","497","6693","6693","6693","497","497","497","583","583","583","497","497","497","3845","3845","3845","497","497","497","6424","6424","6424","497","497","497","305","305","305","497","497","497","2524","2524","2524","497","497","497","5846","5846","5846"
"125","501","501","501","865","865","865","501","501","501","4639","4639","4639","501","501","501","6649","6649","6649","501","501","501","600","600","600","501","501","501","3824","3824","3824","501","501","501","6377","6377","6377","501","501","501","302","302","302","501","501","501","2448","2448","2448","501","501","501","5866","5866","5866"
"126","505","505","505","864","864","864","505","505","505","4590","4590","4590","505","505","505","6640","6640","6640","505","505","505","588","588","588","505","505","505","3835","3835","3835","505","505","505","6401","6401","6401","505","505","505","301","301","301","505","505","505","2481","2481","2481","505","505","505","5835","5835","5835"
"127","509","509","509","852","852","852","509","509","509","4648","4648","4648","509","509","509","6643","6643","6643","509","509","509","591","591","591","509","509","509","3855","3855","3855","509","509","509","6419","6419","6419","509","509","509","310","310","310","509","509","509","2508","2508","2508","509","509","509","5865","5865","5865"
"128","513","513","513","863","863","863","513","513","513","4589","4589","4589","513","513","513","6640","6640","6640","513","513","513","582","582","582","513","513","513","3815","3815","3815","513","513","513","6411","6411","6411","513","513","513","305","305","305","513","513","513","2468","2468","2468","513","513","513","5855","5855","5855"
"129","517","517","517","856","856","856","517","517","517","4618","4618","4618","517","517","517","6636","6636","6636","517","517","517","581","581","581","517","517","517","3836","3836","3836","517","517","517","6384","6384","6384","517","517","517","303","303","303","517","517","517","2506","2506","2506","517","517","517","5842","5842","5842"
"130","521","521","521","842","842","842","521","521","521","4611","4611","4611","521","521","521","6681","6681","6681","521","521","521","591","591","591","521","521","521","3858","3858","3858","521","521","521","6379","6379","6379","521","521","521","303","303","303","521","521","521","2479","2479","2479","521","521","521","5843","5843","5843"
"131","525","525","525","839","839","839","525","525","525","4590","4590","4590","525","525","525","6649","6649","6649","525","525","525","595","595","595","525","525","525","3842","3842","3842","525","525","525","6365","6365","6365","525","525","525","306","306","306","525","525","525","2482","2482","2482","525","525","525","5843","5843","5843"
"132","529","529","529","868","868","868","529","529","529","4601","4601","4601","529","529","529","6641","6641","6641","529","529","529","593","593","593","529","529","529","3828","3828","3828","529","529","529","6419","6419","6419","529","529","529","307","307","307","529","529","529","2513","2513","2513","529","529","529","5875","5875","5875"
"133","533","533","533","859","859","859","533","533","533","4599","4599","4599","533","533","533","6649","6649","6649","533","533","533","590","590","590","533","533","533","3861","3861","3861","533","533","533","6396","6396","6396","533","533","533","304","304","304","533","533","533","2495","2495","2495","533","533","533","5837","5837","5837"
"134","537","537","537","860","860","860","537","537","537","4595","4595","4595","537","537","537","6605","6605","6605","537","537","537","581","581","581","537","537","537","3833","3833","3833","537","537","537","6419","6419","6419","537","537","537","306","306","306","537","537","537","2491","2491","2491","537","537","537","5878","5878","5878"
"135","541","541","541","865","865","865","541","541","541","4627","4627","4627","541","541","541","6623","6623","6623","541","541","541","594","594","594","541","541","541","3843","3843","3843","541","541","541","6387","6387","6387","541","541","541","308","308","308","541","541","541","2497","2497","2497","541","541","541","5805","5805","5805"
"136","545","545","545","856","856","856","545","545","545","4604","4604","4604","545","545","545","6635","6635","6635","545","545","545","601","601","601","545","545","545","3816","3816","3816","545","545","545","6405","6405","6405","545","545","545","304","304","304","545","545","545","2518","2518","2518","545","545","545","5904","5904","5904"
"137","549","549","549","844","844","844","549","549","549","4580","4580","4580","549","549","549","6634","6634","6634","549","549","549","587","587","587","549","549","549","3834","3834","3834","549","549","549","6361","6361","6361","549","549","549","310","310","310","549","549","549","2520","2520","2520","549","549","549","5827","5827","5827"
"138","553","553","553","852","852","852","553","553","553","4544","4544","4544","553","553","553","6622","6622","6622","553","553","553","588","588","588","553","553","553","3852","3852","3852","553","553","553","6388","6388","6388","553","553","553","306","306","306","553","553","553","2493","2493","2493","553","553","553","5863","5863","5863"
"139","557","557","557","856","856","856","557","557","557","4578","4578","4578","557","557","557","6617","6617","6617","557","557","557","592","592","592","557","557","557","3895","3895","3895","557","557","557","6374","6374","6374","557","557","557","307","307","307","557","557","557","2509","2509","2509","557","557","557","5858","5858","5858"
"140","561","561","561","861","861","861","561","561","561","4564","4564","4564","561","561","561","6651","6651","6651","561","561","561","588","588","588","561","561","561","3887","3887","3887","561","561","561","6393","6393","6393","561","561","561","306","306","306","561","561","561","2517","2517","2517","561","561","561","5849","5849","5849"
"141","565","565","565","860","860","860","565","565","565","4591","4591","4591","565","565","565","6650","6650","6650","565","565","565","593","593","593","565","565","565","3819","3819","3819","565","565","565","6369","6369","6369","565","565","565","304","304","304","565","565","565","2495","2495","2495","565","565","565","5840","5840","5840"
"142","569","569","569","843","843","843","569","569","569","4643","4643","4643","569","569","569","6623","6623","6623","569","569","569","595","595","595","569","569","569","3772","3772","3772","569","569","569","6389","6389","6389","569","569","569","306","306","306","569","569","569","2476","2476","2476","569","569","569","5835","5835","5835"
"143","573","573","573","864","864","864","573","573","573","4612","4612","4612","573","573","573","6611","6611","6611","573","573","573","592","592","592","573","573","573","3830","3830","3830","573","573","573","6358","6358","6358","573","573","573","307","307","307","573","573","573","2508","2508","2508","573","573","573","5817","5817","5817"
"144","577","577","577","874","874","874","577","577","577","4553","4553","4553","577","577","577","6624","6624","6624","577","577","577","595","595","595","577","577","577","3835","3835","3835","577","577","577","6369","6369","6369","577","577","577","305","305","305","577","577","577","2487","2487","2487","577","577","577","5832","5832","5832"
"145","581","581","581","860","860","860","581","581","581","4627","4627","4627","581","581","581","6595","6595","6595","581","581","581","582","582","582","581","581","581","3874","3874","3874","581","581","581","6385","6385","6385","581","581","581","302","302","302","581","581","581","2471","2471","2471","581","581","581","5824","5824","5824"
"146","585","585","585","868","868","868","585","585","585","4516","4516","4516","585","585","585","6588","6588","6588","585","585","585","598","598","598","585","585","585","3801","3801","3801","585","585","585","6365","6365","6365","585","585","585","303","303","303","585","585","585","2524","2524","2524","585","585","585","5852","5852","5852"
"147","589","589","589","861","861","861","589","589","589","4592","4592","4592","589","589","589","6613","6613","6613","589","589","589","593","593","593","589","589","589","3887","3887","3887","589","589","589","6332","6332","6332","589","589","589","302","302","302","589","589","589","2477","2477","2477","589","589","589","5820","5820","5820"
"148","593","593","593","865","865","865","593","593","593","4604","4604","4604","593","593","593","6588","6588","6588","593","593","593","588","588","588","593","593","593","3837","3837","3837","593","593","593","6393","6393","6393","593","593","593","307","307","307","593","593","593","2514","2514","2514","593","593","593","5843","5843","5843"
"149","597","597","597","861","861","861","597","597","597","4609","4609","4609","597","597","597","6614","6614","6614","597","597","597","591","591","591","597","597","597","3790","3790","3790","597","597","597","6355","6355","6355","597","597","597","302","302","302","597","597","597","2467","2467","2467","597","597","597","5846","5846","5846"
"150","601","601","601","858","858","858","601","601","601","4577","4577","4577","601","601","601","6591","6591","6591","601","601","601","595","595","595","601","601","601","3883","3883","3883","601","601","601","6353","6353","6353","601","601","601","303","303","303","601","601","601","2507","2507","2507","601","601","601","5818","5818","5818"
"151","605","605","605","866","866","866","605","605","605","4584","4584","4584","605","605","605","6632","6632","6632","605","605","605","591","591","591","605","605","605","3870","3870","3870","605","605","605","6367","6367","6367","605","605","605","306","306","306","605","605","605","2492","2492","2492","605","605","605","5819","5819","5819"
"152","609","609","609","863","863","863","609","609","609","4572","4572","4572","609","609","609","6618","6618","6618","609","609","609","594","594","594","609","609","609","3807","3807","3807","609","609","609","6342","6342","6342","609","609","609","301","301","301","609","609","609","2465","2465","2465","609","609","609","5826","5826","5826"
"153","613","613","613","855","855","855","613","613","613","4561","4561","4561","613","613","613","6602","6602","6602","613","613","613","600","600","600","613","613","613","3877","3877","3877","613","613","613","6367","6367","6367","613","613","613","302","302","302","613","613","613","2497","2497","2497","613","613","613","5822","5822","5822"
"154","617","617","617","853","853","853","617","617","617","4611","4611","4611","617","617","617","6616","6616","6616","617","617","617","591","591","591","617","617","617","3838","3838","3838","617","617","617","6372","6372","6372","617","617","617","307","307","307","617","617","617","2448","2448","2448","617","617","617","5801","5801","5801"
"155","621","621","621","854","854","854","621","621","621","4542","4542","4542","621","621","621","6564","6564","6564","621","621","621","588","588","588","621","621","621","3786","3786","3786","621","621","621","6329","6329","6329","621","621","621","305","305","305","621","621","621","2525","2525","2525","621","621","621","5800","5800","5800"
"156","625","625","625","876","876","876","625","625","625","4555","4555","4555","625","625","625","6600","6600","6600","625","625","625","595","595","595","625","625","625","3829","3829","3829","625","625","625","6367","6367","6367","625","625","625","310","310","310","625","625","625","2527","2527","2527","625","625","625","5810","5810","5810"
"157","629","629","629","869","869","869","629","629","629","4586","4586","4586","629","629","629","6618","6618","6618","629","629","629","585","585","585","629","629","629","3798","3798","3798","629","629","629","6332","6332","6332","629","629","629","308","308","308","629","629","629","2501","2501","2501","629","629","629","5822","5822","5822"
"158","633","633","633","857","857","857","633","633","633","4548","4548","4548","633","633","633","6603","6603","6603","633","633","633","593","593","593","633","633","633","3777","3777","3777","633","633","633","6339","6339","6339","633","633","633","306","306","306","633","633","633","2505","2505","2505","633","633","633","5821","5821","5821"
"159","637","637","637","865","865","865","637","637","637","4579","4579","4579","637","637","637","6615","6615","6615","637","637","637","595","595","595","637","637","637","3845","3845","3845","637","637","637","6324","6324","6324","637","637","637","306","306","306","637","637","637","2465","2465","2465","637","637","637","5797","5797","5797"
"160","641","641","641","865","865","865","641","641","641","4590","4590","4590","641","641","641","6602","6602","6602","641","641","641","591","591","591","641","641","641","3853","3853","3853","641","641","641","6341","6341","6341","641","641","641","308","308","308","641","641","641","2512","2512","2512","641","641","641","5851","5851","5851"
"161","645","645","645","855","855","855","645","645","645","4576","4576","4576","645","645","645","6570","6570","6570","645","645","645","591","591","591","645","645","645","3841","3841","3841","645","645","645","6335","6335","6335","645","645","645","306","306","306","645","645","645","2470","2470","2470","645","645","645","5823","5823","5823"
"162","649","649","649","862","862","862","649","649","649","4567","4567","4567","649","649","649","6595","6595","6595","649","649","649","589","589","589","649","649","649","3799","3799","3799","649","649","649","6326","6326","6326","649","649","649","307","307","307","649","649","649","2489","2489","2489","649","649","649","5815","5815","5815"
"163","653","653","653","862","862","862","653","653","653","4552","4552","4552","653","653","653","6592","6592","6592","653","653","653","597","597","597","653","653","653","3823","3823","3823","653","653","653","6353","6353","6353","653","653","653","304","304","304","653","653","653","2496","2496","2496","653","653","653","5813","5813","5813"
"164","657","657","657","856","856","856","657","657","657","4579","4579","4579","657","657","657","6577","6577","6577","657","657","657","590","590","590","657","657","657","3818","3818","3818","657","657","657","6312","6312","6312","657","657","657","303","303","303","657","657","657","2487","2487","2487","657","657","657","5810","5810","5810"
"165","661","661","661","851","851","851","661","661","661","4595","4595","4595","661","661","661","6606","6606","6606","661","661","661","588","588","588","661","661","661","3839","3839","3839","661","661","661","6332","6332","6332","661","661","661","305","305","305","661","661","661","2473","2473","2473","661","661","661","5814","5814","5814"
"166","665","665","665","854","854","854","665","665","665","4563","4563","4563","665","665","665","6585","6585","6585","665","665","665","581","581","581","665","665","665","3865","3865","3865","665","665","665","6315","6315","6315","665","665","665","301","301","301","665","665","665","2480","2480","2480","665","665","665","5821","5821","5821"
"167","669","669","669","866","866","866","669","669","669","4588","4588","4588","669","669","669","6561","6561","6561","669","669","669","599","599","599","669","669","669","3808","3808","3808","669","669","669","6327","6327","6327","669","669","669","306","306","306","669","669","669","2498","2498","2498","669","669","669","5810","5810","5810"
"168","673","673","673","857","857","857","673","673","673","4541","4541","4541","673","673","673","6580","6580","6580","673","673","673","590","590","590","673","673","673","3820","3820","3820","673","673","673","6330","6330","6330","673","673","673","307","307","307","673","673","673","2505","2505","2505","673","673","673","5835","5835","5835"
"169","677","677","677","865","865","865","677","677","677","4639","4639","4639","677","677","677","6594","6594","6594","677","677","677","577","577","577","677","677","677","3828","3828","3828","677","677","677","6329","6329","6329","677","677","677","307","307","307","677","677","677","2504","2504","2504","677","677","677","5801","5801","5801"
"170","681","681","681","858","858","858","681","681","681","4575","4575","4575","681","681","681","6600","6600","6600","681","681","681","593","593","593","681","681","681","3813","3813","3813","681","681","681","6294","6294","6294","681","681","681","305","305","305","681","681","681","2463","2463","2463","681","681","681","5803","5803","5803"
"171","685","685","685","855","855","855","685","685","685","4533","4533","4533","685","685","685","6604","6604","6604","685","685","685","591","591","591","685","685","685","3831","3831","3831","685","685","685","6328","6328","6328","685","685","685","300","300","300","685","685","685","2503","2503","2503","685","685","685","5788","5788","5788"
"172","689","689","689","841","841","841","689","689","689","4571","4571","4571","689","689","689","6562","6562","6562","689","689","689","590","590","590","689","689","689","3843","3843","3843","689","689","689","6342","6342","6342","689","689","689","304","304","304","689","689","689","2496","2496","2496","689","689","689","5830","5830","5830"
"173","693","693","693","848","848","848","693","693","693","4598","4598","4598","693","693","693","6582","6582","6582","693","693","693","601","601","601","693","693","693","3821","3821","3821","693","693","693","6305","6305","6305","693","693","693","304","304","304","693","693","693","2474","2474","2474","693","693","693","5828","5828","5828"
"174","697","697","697","840","840","840","697","697","697","4526","4526","4526","697","697","697","6598","6598","6598","697","697","697","602","602","602","697","697","697","3823","3823","3823","697","697","697","6339","6339","6339","697","697","697","307","307","307","697","697","697","2469","2469","2469","697","697","697","5783","5783","5783"
"175","701","701","701","847","847","847","701","701","701","4619","4619","4619","701","701","701","6606","6606","6606","701","701","701","590","590","590","701","701","701","3829","3829","3829","701","701","701","6315","6315","6315","701","701","701","307","307","307","701","701","701","2507","2507","2507","701","701","701","5774","5774","5774"
"176","705","705","705","871","871","871","705","705","705","4548","4548","4548","705","705","705","6551","6551","6551","705","705","705","594","594","594","705","705","705","3798","3798","3798","705","705","705","6299","6299","6299","705","705","705","306","306","306","705","705","705","2465","2465","2465","705","705","705","5804","5804","5804"
